"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"2","1","7","9","51","16",0,494209784735241,-1,6975270714119,0,758050840495174,0,522861018043435,0,"237111138068715",0,6084358658141,0,406275218677899,0,809992811835436,0,238538955208396,1
"3","1","7","9","51","16",0,490628836231501,-1,7035291031193,0,767343062773819,0,522792953735457,0,"235510834829309",0,608657203585691,0,416931228541617,0,875346801894224,0,220291762285003,0
"4","0","7","1","51","16",0,496991332041936,-1,6999617223663,0,76330369937147,0,521952618829966,0,"236320748047847",0,631642416168179,0,408246527438819,0,875059919391616,0,21256972286126,1
"5","1","7","9","51","16",0,489985616293376,-1,7033692673695,0,766846646127676,0,522763875124996,0,"235487082894653",0,608199195892771,0,416450410302356,0,874822305041557,0,219840092586286,0
"6","1","7","9","51","16",0,49026979475279,-1,699781993369,0,760078502810944,0,523275934826243,0,"236708099913236",0,5974863426609,0,410934732952208,0,810075494003926,0,242603558146582,0
"7","1","7","9","51","16",0,489622271676034,-1,7033619475489,0,766771101268488,0,522749648450454,0,"235478236492281",0,608330415130693,0,416450639825765,0,874498900807038,0,219796798832059,0
"8","1","7","9","51","16",0,4909098076608,-1,7036851337261,0,767763107174221,0,522809867819814,0,"235538147378448",0,609225817909663,0,417412229104536,0,875556945690759,0,220699996992574,0
"9","1","7","9","51","16",0,490348626832537,-1,7032321768975,0,766923215320118,0,522771741984168,0,"235497323602346",0,608067983049349,0,416450452897942,0,87513590186008,0,219883066784016,1
"10","1","7","9","51","16",0,492286276115952,-1,696084408711,0,754035656324674,0,523844571979256,0,"237968589386174",0,586858811438952,0,40589958557337,0,746795577169927,0,26594832014542,0
"11","1","7","9","51","16",0,489332484067331,-1,7025068748245,0,747843956202606,0,526341013713176,0,"249388723987372",0,128727052387113,0,396170174726156,0,734642351871752,0,268822827261314,0
"12","0","7","6","51","16",0,491320613782665,-1,7021214197736,0,766051208254065,0,522753907621296,0,"235431389628269",0,605793882174384,0,414927931956031,0,875463225728133,0,218767892862894,1
"13","1","7","9","51","16",0,492359842439361,-1,7038417314933,0,768177344859983,0,522792961908615,0,"235438784123083",0,609103649316721,0,417364666352909,0,86795780017488,0,220385892719177,1
"14","0","7","6","51","16",0,490829853089065,-1,7041930416598,0,768104533387133,0,52282624362337,0,"235539500899967",0,609944256656056,0,417891840262363,0,875462659040646,0,221065930338413,1
"15","0","7","8","51","16",0,488208347911968,-1,7036840083969,0,76638739251162,0,522750869711806,0,"235514478212905",0,608544775956573,0,416577575813463,0,87862888180582,0,220024663215573,0
"16","1","7","9","51","16",0,491491275448283,-1,7007349813926,0,761442466766318,0,523328076442098,0,"236735314823311",0,599135419347043,0,412547400731125,0,808127684925431,0,243897776399349,0
"17","1","7","9","51","16",0,489985955653958,-1,7034841766134,0,766845945389394,0,522766964424304,0,"235476655619957",0,60821326275704,0,416449956305618,0,874824570483791,0,219840527298297,0
"18","1","7","9","51","16",0,488994604729383,-1,7031213420249,0,76621882887849,0,522754016904896,0,"235505289848188",0,607701701238312,0,415945943787721,0,878132250031449,0,219532406564252,1
"19","1","7","9","51","16",0,493323907821247,-1,7023123303791,0,765762352784954,0,522378842518976,0,"235935396863714",0,621324929857634,0,413310280766369,0,87473571836031,0,216935319576442,0
"20","0","7","8","51","16",0,489985665110445,-1,7033612671029,0,766846706761868,0,522763358773163,0,"235486597726441",0,608200031373672,0,41645037302138,0,874821521795723,0,219840065046922,1
"21","0","7","6","51","16",0,489509766635164,-1,7011124270803,0,765668615695033,0,522654021028501,0,"235456824313299",0,606310030661275,0,415009186273637,0,874424699967369,0,218655811663461,1
"22","1","7","9","51","16",0,488103178919516,-1,7002836608793,0,759609587627957,0,523224236356808,0,"236698280709869",0,598148356019597,0,411010799907565,0,808811813053275,0,242450342314677,0
"23","1","7","9","51","16",0,489781314647367,-1,7072557575101,0,756123474977163,0,525932197010831,0,"248476418549796",0,131778452625433,0,40344958152479,0,800287589041174,0,247629796302252,0
"24","1","7","9","51","16",0,488994669773743,-1,703131874083,0,76621870057418,0,5227551454966,0,"235509747147233",0,607694735805159,0,415946008772566,0,878135516916134,0,219532322575919,0
"25","1","7","9","51","16",0,491632806424579,-1,7038405634,0,767966476133669,0,522805332878371,0,"235487710898873",0,609147553734062,0,417429542459092,0,872057085756153,0,220597721211531,1
"26","1","7","9","51","16",0,489985817005211,-1,7034438202757,0,766846253483902,0,52276462400611,0,"235476100729678",0,608214697413302,0,416450057877455,0,874820876541028,0,219840487912267,1
"27","1","7","9","51","16",0,495135864641513,-1,7022000559053,0,766194582619217,0,522402027019134,0,"235901357294706",0,620873020306077,0,413327393567325,0,87217872456121,0,216962710411576,1
"28","1","7","9","51","16",0,489284262181207,-1,7033879526345,0,76662760961199,0,522778538426035,0,"235536635855239",0,608214550983717,0,416503369131512,0,878960537880677,0,220048016143068,1
"29","1","7","9","51","16",0,489269169259597,-1,7036226004277,0,766682727197171,0,522745034504002,0,"235458121464238",0,608424837613196,0,416526411991779,0,874796323482828,0,2198616678385,1
"30","1","7","9","51","16",0,490910263915588,-1,7037928884973,0,767762469637805,0,522812619703214,0,"235525610584674",0,609243110801172,0,417411645527658,0,875557833083379,0,220700400417371,1
"31","0","7","6","51","16",0,487019873941618,-1,7025225726027,0,765004151590702,0,522701879897953,0,"235531742568716",0,606753134191972,0,415032116040802,0,881234041912173,0,218834076205373,0
"32","1","7","9","51","16",0,489367207254985,-1,6997278398044,0,759253394729609,0,523173282979898,0,"236575826823988",0,596707793847256,0,409998207353536,0,801123108535203,0,241363368579302,0
"33","1","7","9","51","16",0,488925352264737,-1,6996566659781,0,759362910237656,0,523262607813549,0,"236735493101128",0,597040975107212,0,410506822897027,0,813691462237042,0,242359771691001,0
"34","1","7","9","51","16",0,490629141005792,-1,7036353768466,0,767342352489371,0,522796832688692,0,"235506283608702",0,60866246942457,0,416930925149261,0,875351843527963,0,220292054946796,1
"35","1","7","9","51","16",0,488437130070689,-1,7025374824692,0,76537718342112,0,522711186637885,0,"235470121999352",0,606530735143434,0,414983365692011,0,877712358780306,0,218715639418995,0
"36","1","7","9","51","16",0,492951040261436,-1,6971911987754,0,756989274391368,0,52284088725442,0,"237114572156246",0,607294752211631,0,405364945670518,0,813720100209501,0,237930476834855,0
"37","1","7","9","51","16",0,490422027968683,-1,7112215057312,0,763900649767768,0,525439098061104,0,"247084000880782",0,131456030306343,0,410071486366308,0,86541050620581,0,225742146160798,1
"38","1","7","9","51","16",0,489985613205442,-1,7033681884794,0,766846652765265,0,522763840780196,0,"235487185507449",0,608199056375316,0,416450414877821,0,874822282324813,0,219840088575891,0
"39","1","7","9","51","16",0,489785860946772,-1,7110183905739,0,763515164730624,0,525371694539397,0,"24679184323123",0,129565215662953,0,409766920891364,0,864449579186889,0,225310355259197,0
"40","1","7","9","51","16",0,491556770491849,-1,6999398515281,0,761071768047997,0,523327691600209,0,"236763067234661",0,59839184434662,0,411896591227931,0,811118407835007,0,243506598546935,1
"41","1","7","9","51","16",0,492231951220744,-1,7233889272334,0,751923070274148,0,531269315822778,0,"271093590194839",0,268623337978894,0,392573807360197,0,781642122278624,0,260793920018771,1
"42","1","7","9","51","16",0,491064054759763,-1,7033365601738,0,767136803675847,0,522761973002705,0,"235438964060581",0,608048928785812,0,416390870744056,0,871022084338897,0,219673754835185,1
"43","1","7","9","51","16",0,490411632272504,-1,7113255322961,0,76370103326249,0,525503936564854,0,"247543860225957",0,134760275190178,0,409754927674481,0,866184227557836,0,225707215923598,0
"44","0","7","8","51","16",0,487666328561127,-1,7043802683211,0,767019221011941,0,5227592102691,0,"235542585353595",0,610165168366369,0,417384965782907,0,876896002159362,0,220496247830691,1
"45","1","7","9","51","16",0,489985616770792,-1,7033682357907,0,766846643533293,0,522763995907884,0,"235487839342184",0,608198068578913,0,41645042514307,0,874822708893118,0,219840072526628,0
"46","1","7","9","51","16",0,490387877506958,-1,7007742391649,0,76118385261459,0,523319992164803,0,"236753515079199",0,599474726436778,0,412376503368206,0,810088438576236,0,243742901029019,0
"47","0","7","8","51","16",0,492982435415933,-1,6979317471645,0,759883858927662,0,523311296903749,0,"236682986232965",0,595218927493688,0,409870746336897,0,815947021182696,0,242256668801789,0
"48","1","7","9","51","16",0,491696241893567,-1,7118743959669,0,764751028488908,0,525534021477715,0,"247525790927664",0,13476112433652,0,410744293632271,0,863080285597341,0,226422659783126,1
"49","1","7","9","51","16",0,490339318651892,-1,7033138898005,0,766933913431,0,522770722490358,0,"235479353711116",0,608143767595585,0,416373705405475,0,874522167685464,0,21977625154127,1
"50","1","7","9","51","16",0,489435525426774,-1,6989754050284,0,758814509184204,0,523215281134966,0,"236657901361362",0,595722331124659,0,40949022148343,0,809455128021539,0,241378595764264,0
"51","0","3","8","51","16",0,488365657496713,-1,712300267414,0,768233557391035,0,520949538776121,0,"237034204919744",0,683278102882915,0,415192743927319,0,826550571336547,0,213574356790757,0
"52","1","7","9","51","16",0,490339284653366,-1,703305829688,0,766933984064935,0,522770185921412,0,"235478359685288",0,608145406129325,0,416373705421085,0,874520989055212,0,219776261696441,1
"53","0","7","6","51","16",0,488989818311348,-1,7032545627308,0,766262306933205,0,522728654815419,0,"235476093042394",0,607787411096618,0,416046043917051,0,874602273174282,0,219452211034291,0
"54","1","7","9","51","16",0,489990654224064,-1,6994581837066,0,759658229429964,0,523252793727708,0,"236690929786126",0,596901435583409,0,410453555900196,0,809862571567114,0,24219498158699,0
"55","1","7","9","51","16",0,492993176413788,-1,7036673033174,0,768627104708074,0,522842598711167,0,"235513382382984",0,609420484085141,0,417833774294937,0,872586053544643,0,221028484644604,1
"56","1","7","9","51","16",0,492330123017291,-1,7011985410409,0,762665621248104,0,523404604994034,0,"236822288186615",0,600833287618403,0,413815183401389,0,81167900277819,0,245099252620637,0
"57","0","7","6","51","16",0,488715106693357,-1,7027464823948,0,765798793248076,0,5227309437299,0,"23549965638425",0,607100061687776,0,415465248805568,0,87792200814827,0,219123560521488,1
"58","1","7","9","51","16",0,489632084790861,-1,7034755745579,0,766759020530982,0,522759214131408,0,"235493834356231",0,608255314049375,0,416526976546908,0,875125676011639,0,219904035586252,1
"59","1","7","9","51","16",0,492359671214885,-1,7037941368491,0,768177687758106,0,522790782066169,0,"235439152070001",0,609103839208136,0,417364792544474,0,867954417668795,0,220385814330912,0
"60","1","7","9","51","16",0,490339384578336,-1,7033366786225,0,766933774024608,0,52277140256817,0,"235477203843833",0,608146682053915,0,416373611182726,0,874522614479236,0,21977633705821,1
"61","1","7","9","51","16",0,490628818698502,-1,7035298689064,0,767343110883151,0,522792008077719,0,"235506922615354",0,608663126487514,0,416931164731678,0,875344347589452,0,220291863427504,0
"62","1","7","9","51","16",0,491057544838889,-1,7114677879572,0,764249293331833,0,525516050611148,0,"247445758342511",0,133947662522937,0,410317974806818,0,866506834440293,0,226168048178817,0
"63","1","7","9","51","16",0,489907296001583,-1,6999703245564,0,760001506456845,0,523271084133375,0,"236700995534147",0,59761171143402,0,410934440932889,0,809767828295405,0,242560465044719,0
"64","1","7","9","51","16",0,495489384735476,-1,7020922439189,0,766282231417065,0,522406462718811,0,"235893564607789",0,620818515265173,0,413250809920113,0,871874660614771,0,216898788769189,1
"65","1","7","9","51","16",0,489985613205442,-1,7033681884794,0,766846652765265,0,522763840780196,0,"235487185507449",0,608199056375316,0,416450414877821,0,874822282324813,0,219840088575891,0
"66","1","7","9","51","16",0,491276035265092,-1,6998499459991,0,76065124975613,0,523313620047856,0,"236735441071831",0,597822643106498,0,411415431724005,0,810912878470755,0,243098475050787,1
"67","0","7","6","51","16",0,485451351773008,-1,6983369115825,0,756448495135008,0,523091057349198,0,"236618922132067",0,594105860223208,0,407615572808541,0,810892367231395,0,239694110162624,0
"68","1","7","9","51","16",0,48963799217563,-1,7033444785401,0,766714823368668,0,522785361926089,0,"235526433357142",0,608162687394153,0,416426595409465,0,878659733879023,0,219984255376104,0
"69","1","7","9","50","16",0,489303812124369,-1,7031688323945,0,766579352167842,0,522801605779243,0,"235571905785024",0,608103879338948,0,416396953079927,0,88250998032052,0,2201261722901,1
"70","1","7","9","51","16",0,491203149832895,-1,6999712575302,0,760984581309824,0,523320838687275,0,"23677836964915",0,598436013258694,0,411973435804267,0,811421094327443,0,243570187556817,0
"71","0","7","8","51","16",0,500295728628217,-1,7015826609397,0,767479819443774,0,522401044855896,0,"235708415671016",0,619954584593657,0,412953014310847,0,857157077508091,0,216256650425059,0
"72","1","7","9","51","16",0,489544214119229,-1,6999676872438,0,759925813597817,0,523258451593532,0,"2367008397852",0,597729514700971,0,410934711779742,0,809449990772342,0,242516909368365,0
"73","1","7","9","51","16",0,489985614632042,-1,7033682103962,0,766846648974184,0,522763908916376,0,"235487449013406",0,60819865619543,0,416450418972818,0,874822453589451,0,219840081836904,0
"74","0","7","6","51","16",0,483224314859784,-1,7029063850259,0,762016944345654,0,522134021096105,0,"23590943802698",0,621428885646147,0,411632729602277,0,876839300003559,0,215014209537308,1
"75","1","7","9","51","16",0,493942834976369,-1,716425469952,0,757177792519324,0,52780025961028,0,"260130325962542",0,210994324695786,0,396822133876516,0,857174177300281,0,226271145510033,0
"76","0","7","6","51","16",0,489983963742446,-1,7028899639853,0,766849966697009,0,522746403629471,0,"235494959924071",0,608195086623576,0,416451547547028,0,874793988575095,0,219839074695313,1
"77","1","7","9","51","16",0,488794625613981,-1,6981657951704,0,758319599152509,0,523164306565456,0,"236682014314031",0,595194935449072,0,40901055245724,0,808917433571097,0,240925256973165,0
"78","0","7","8","51","16",0,493423161306578,-1,7017618990372,0,765363608806588,0,522394891438425,0,"235966742337442",0,620458351279952,0,412804754023391,0,878985867654757,0,21675677125292,0
"79","1","7","9","51","16",0,489545241120273,-1,6999387982044,0,759925897301184,0,523258082708678,0,"236706696354943",0,597720352571262,0,410934238742732,0,809452426582423,0,242516323093403,0
"80","1","7","9","51","16",0,489985584872565,-1,7033689939321,0,766846694401393,0,522763781426346,0,"23548321144116",0,608204696515701,0,416450349452703,0,874819680730392,0,219840145585542,1
"81","0","7","8","51","16",0,509497758852009,-1,6700974085846,0,717872814709554,0,52290537796646,0,"236248304265077",0,627340814293659,0,440873250661805,0,815455886535534,0,247790277077922,1
"82","0","7","6","51","16",0,49071714195467,-1,6992541794995,0,759810914269587,0,523271025704073,0,"236704930907854",0,596647685432246,0,410453173780482,0,810491934493942,0,242281082491186,0
"83","0","3","8","51","16",0,48729640519973,-1,6772213225539,0,725321258899435,0,52195863288822,0,"241463280447897",0,627536970358898,0,368517350792756,0,741896179915728,0,262637206514906,0
"84","1","7","9","51","16",0,490269791697174,-1,699776169033,0,760078510913589,0,523276159979475,0,"236710915609919",0,597482138474149,0,410934800415623,0,810076678539191,0,242603482670472,0
"85","1","7","7","6","15",0,490695259968465,-1,7077402733584,0,756922212743017,0,526019798324205,0,"248792278790945",0,133865160446243,0,404222393867284,0,801480131493084,0,248468742363943,0
"86","1","7","9","51","16",0,48970626123983,-1,7030543128052,0,766426303380703,0,522741623316502,0,"235470960202667",0,607612695528985,0,415969372369075,0,874610526234495,0,219431587595903,0
"87","1","7","9","51","16",0,491193765300111,-1,7000121162486,0,760995455800676,0,523319777881973,0,"236770044028989",0,598497717353234,0,411896958211252,0,810809983222528,0,243463073736711,0
"88","1","7","9","51","16",0,493056252400625,-1,6982540703237,0,758143169510168,0,522856757522813,0,"237132875400117",0,609378696457381,0,406909505783277,0,810186008349973,0,238988849754727,0
"89","1","7","9","51","16",0,491343203292169,-1,703587510001,0,767557580002871,0,522781731014437,0,"235457640468369",0,608632552704096,0,416872106424491,0,87123060482197,0,220082100656046,0
"90","1","7","9","51","16",0,490064837957657,-1,7028481714996,0,766470151593943,0,5227739135969,0,"235497546645315",0,607463964646626,0,415792634692567,0,877842169826534,0,219447751394124,1
